time,event,input,output
721,end,C28.3.1,[]
564,fusion,"['C28.3.2', 'C28.3.3', 'C28.3.4', 'C28.3.5']",C28.4
574,fusion,"['C28.4', 'C28.3.6']",C28.5
721,end,C28.5,[]
294,div,C28.2,"['C28.2.1', 'C28.2.2']"
508,div,C28.2.1,"['C28.2.1.1', 'C28.2.1.2']"
721,end,C28.2.1.1,[]
721,end,C28.2.1.2,[]
440,div,C28.2.2,"['C28.2.2.1', 'C28.2.2.2']"
569,fusion,"['C28.2.2.1', 'C28.2.2.2']",C28.6
721,end,C28.6,[]
0,begin,[],C29
157,div,C29,"['C29.1', 'C29.2']"
302,div,C29.1,"['C29.1.1', 'C29.1.2']"
522,div,C29.1.1,"['C29.1.1.1', 'C29.1.1.2']"
721,end,C29.1.1.1,[]
721,end,C29.1.1.2,[]
465,div,C29.1.2,"['C29.1.2.1', 'C29.1.2.2']"
721,end,C29.1.2.1,[]
586,out,C29.1.2.2,[]
285,div,C29.2,"['C29.2.1', 'C29.2.2']"
638,out,C29.2.1,[]
426,div,C29.2.2,"['C29.2.2.1', 'C29.2.2.2']"
721,end,C29.2.2.1,[]
631,out,C29.2.2.2,[]
0,begin,[],C30
420,div,C30,"['C30.1', 'C30.2', 'C30.3', 'C30.4']"
431,death,C30.1,[]
431,death,C30.4,[]
430,fusion,"['C30.2', 'C30.3']",C30.5
433,death,C30.5,[]
0,begin,[],C31
76,death,C31,[]
0,begin,[],C32
55,out,C32,[]
0,begin,[],C33
150,out,C33,[]
0,begin,[],C34
200,div,C34,"['C34.1', 'C34.2', 'C34.3']"
219,out,C34.1,[]
579,death,C34.2,[]
321,out,C34.3,[]
0,begin,[],C35
332,div,C35,"['C35.1', 'C35.2', 'C35.3']"
707,out,C35.1,[]
613,death,C35.2,[]
553,death,C35.3,[]
0,begin,[],C36
655,out,C36,[]
0,begin,[],C37
187,div,C37,"['C37.1', 'C37.2']"
446,div,C37.1,"['C37.1.1', 'C37.1.2']"
721,end,C37.1.1,[]
721,end,C37.1.2,[]
362,out,C37.2,[]
