time,event,input,output
384,div,C13.1,"['C13.1.1', 'C13.1.2']"
537,div,C13.1.1,"['C13.1.1.1', 'C13.1.1.2']"
634,div,C13.1.1.1,"['C13.1.1.1.1', 'C13.1.1.1.2']"
644,div,C13.1.1.2,"['C13.1.1.2.1', 'C13.1.1.2.2']"
721,end,C13.1.1.1.1,[]
721,end,C13.1.1.1.2,[]
721,end,C13.1.1.2.1,[]
721,end,C13.1.1.2.2,[]
549,div,C13.1.2,"['C13.1.2.1', 'C13.1.2.2']"
673,div,C13.1.2.1,"['C13.1.2.1.1', 'C13.1.2.1.2']"
660,div,C13.1.2.2,"['C13.1.2.2.1', 'C13.1.2.2.2']"
721,end,C13.1.2.1.1,[]
721,end,C13.1.2.1.2,[]
721,end,C13.1.2.2.1,[]
721,end,C13.1.2.2.2,[]
303,div,C13.2,"['C13.2.1', 'C13.2.2']"
459,div,C13.2.1,"['C13.2.1.1', 'C13.2.1.2']"
584,div,C13.2.1.1,"['C13.2.1.1.1', 'C13.2.1.1.2']"
700,div,C13.2.1.1.1,"['C13.2.1.1.1.1', 'C13.2.1.1.1.2']"
714,div,C13.2.1.1.2,"['C13.2.1.1.2.1', 'C13.2.1.1.2.2']"
721,end,C13.2.1.1.1.1,[]
721,end,C13.2.1.1.1.2,[]
721,end,C13.2.1.1.2.1,[]
721,end,C13.2.1.1.2.2,[]
584,div,C13.2.1.2,"['C13.2.1.2.1', 'C13.2.1.2.2']"
697,div,C13.2.1.2.1,"['C13.2.1.2.1.1', 'C13.2.1.2.1.2']"
721,end,C13.2.1.2.1.1,[]
721,end,C13.2.1.2.1.2,[]
688,div,C13.2.1.2.2,"['C13.2.1.2.2.1', 'C13.2.1.2.2.2']"
721,end,C13.2.1.2.2.1,[]
721,end,C13.2.1.2.2.2,[]
453,div,C13.2.2,"['C13.2.2.1', 'C13.2.2.2']"
571,div,C13.2.2.1,"['C13.2.2.1.1', 'C13.2.2.1.2']"
708,div,C13.2.2.1.1,"['C13.2.2.1.1.1', 'C13.2.2.1.1.2']"
717,div,C13.2.2.1.2,"['C13.2.2.1.2.1', 'C13.2.2.1.2.2']"
721,end,C13.2.2.1.1.1,[]
721,end,C13.2.2.1.1.2,[]
721,end,C13.2.2.1.2.1,[]
721,end,C13.2.2.1.2.2,[]
549,div,C13.2.2.2,"['C13.2.2.2.1', 'C13.2.2.2.2']"
682,div,C13.2.2.2.1,"['C13.2.2.2.1.1', 'C13.2.2.2.1.2']"
673,div,C13.2.2.2.2,"['C13.2.2.2.2.1', 'C13.2.2.2.2.2']"
721,end,C13.2.2.2.1.1,[]
721,end,C13.2.2.2.1.2,[]
721,end,C13.2.2.2.2.1,[]
721,end,C13.2.2.2.2.2,[]
0,begin,[],C14
100,div,C14,"['C14.1', 'C14.2']"
374,death,C14.1,[]
254,div,C14.2,"['C14.2.1', 'C14.2.2']"
385,div,C14.2.1,"['C14.2.1.1', 'C14.2.1.2']"
537,div,C14.2.1.1,"['C14.2.1.1.1', 'C14.2.1.1.2', 'C14.2.1.1.3']"
544,death,C14.2.1.1.1,[]
721,end,C14.2.1.1.2,[]
683,div,C14.2.1.1.3,"['C14.2.1.1.3.1', 'C14.2.1.1.3.2']"
721,end,C14.2.1.1.3.1,[]
721,end,C14.2.1.1.3.2,[]
542,div,C14.2.1.2,"['C14.2.1.2.1', 'C14.2.1.2.2']"
653,div,C14.2.1.2.1,"['C14.2.1.2.1.1', 'C14.2.1.2.1.2']"
721,end,C14.2.1.2.1.1,[]
721,end,C14.2.1.2.1.2,[]
682,div,C14.2.1.2.2,"['C14.2.1.2.2.1', 'C14.2.1.2.2.2']"
721,end,C14.2.1.2.2.1,[]
721,end,C14.2.1.2.2.2,[]
378,div,C14.2.2,"['C14.2.2.1', 'C14.2.2.2']"
519,div,C14.2.2.1,"['C14.2.2.1.1', 'C14.2.2.1.2']"
656,div,C14.2.2.1.1,"['C14.2.2.1.1.1', 'C14.2.2.1.1.2']"
721,end,C14.2.2.1.1.1,[]
721,end,C14.2.2.1.1.2,[]
680,div,C14.2.2.1.2,"['C14.2.2.1.2.1', 'C14.2.2.1.2.2']"
721,end,C14.2.2.1.2.1,[]
721,end,C14.2.2.1.2.2,[]
520,div,C14.2.2.2,"['C14.2.2.2.1', 'C14.2.2.2.2', 'C14.2.2.2.3']"
530,death,C14.2.2.2.2,[]
658,div,C14.2.2.2.1,"['C14.2.2.2.1.1', 'C14.2.2.2.1.2']"
721,end,C14.2.2.2.1.1,[]
721,end,C14.2.2.2.1.2,[]
666,div,C14.2.2.2.3,"['C14.2.2.2.3.1', 'C14.2.2.2.3.2']"
721,end,C14.2.2.2.3.1,[]
721,end,C14.2.2.2.3.2,[]
0,begin,[],C15
145,div,C15,"['C15.1', 'C15.2']"
713,div,C15.1,"['C15.1.1', 'C15.1.2', 'C15.1.3']"
721,end,C15.1.1,[]
721,end,C15.1.2,[]
721,end,C15.1.3,[]
398,div,C15.2,"['C15.2.1', 'C15.2.2']"
517,out,C15.2.1,[]
523,div,C15.2.2,"['C15.2.2.1', 'C15.2.2.2']"
524,out,C15.2.2.1,[]
562,out,C15.2.2.2,[]
0,begin,[],C16
5,out,C16,[]
0,begin,[],C17
164,div,C17,"['C17.1', 'C17.2']"
412,div,C17.1,"['C17.1.1', 'C17.1.2']"
721,end,C17.1.1,[]
619,div,C17.1.2,"['C17.1.2.1', 'C17.1.2.2']"
721,end,C17.1.2.1,[]
721,end,C17.1.2.2,[]
371,div,C17.2,"['C17.2.1', 'C17.2.2']"
721,end,C17.2.1,[]
589,div,C17.2.2,"['C17.2.2.1', 'C17.2.2.2']"
721,end,C17.2.2.1,[]
721,end,C17.2.2.2,[]
0,begin,[],C18
160,div,C18,"['C18.1', 'C18.2']"
721,end,C18.1,[]
546,div,C18.2,"['C18.2.1', 'C18.2.2']"
547,out,C18.2.1,[]
547,out,C18.2.2,[]
0,begin,[],C19
136,out,C19,[]
0,begin,[],C20
367,div,C20,"['C20.1', 'C20.2']"
445,out,C20.2,[]
491,div,C20.1,"['C20.1.1', 'C20.1.2']"
590,div,C20.1.1,"['C20.1.1.1', 'C20.1.1.2']"
721,end,C20.1.1.1,[]
721,end,C20.1.1.2,[]
598,div,C20.1.2,"['C20.1.2.1', 'C20.1.2.2']"
721,end,C20.1.2.1,[]
721,end,C20.1.2.2,[]
0,begin,[],C21
189,out,C21,[]
0,begin,[],C22
185,div,C22,"['C22.1', 'C22.2']"
721,end,C22.1,[]
685,div,C22.2,"['C22.2.1', 'C22.2.2', 'C22.2.3']"
721,end,C22.2.1,[]
690,fusion,"['C22.2.2', 'C22.2.3']",C22.5
721,end,C22.5,[]
