time,event,input,output
360,div,C7.2.1,"['C7.2.1.1', 'C7.2.1.2', 'C7.2.1.3']"
576,end,C7.2.1.1,[]
576,end,C7.2.1.2,[]
472,div,C7.2.1.3,"['C7.2.1.3.1', 'C7.2.1.3.2']"
576,end,C7.2.1.3.1,[]
576,end,C7.2.1.3.2,[]
355,div,C7.2.2,"['C7.2.2.1', 'C7.2.2.2']"
576,end,C7.2.2.2,[]
492,div,C7.2.2.1,"['C7.2.2.1.1', 'C7.2.2.1.2']"
576,end,C7.2.2.1.1,[]
576,end,C7.2.2.1.2,[]
0,begin,[],C8
225,div,C8,"['C8.1', 'C8.2']"
411,div,C8.1,"['C8.1.1', 'C8.1.2']"
541,div,C8.1.1,"['C8.1.1.1', 'C8.1.1.2']"
576,end,C8.1.2,[]
576,end,C8.1.1.1,[]
576,end,C8.1.1.2,[]
410,div,C8.2,"['C8.2.1', 'C8.2.2']"
515,death,C8.2.1,[]
491,death,C8.2.2,[]
0,begin,[],C9
60,out,C9,[]
0,begin,[],C10
237,div,C10,"['C10.1', 'C10.2']"
416,div,C10.1,"['C10.1.1', 'C10.1.2']"
539,div,C10.1.1,"['C10.1.1.1', 'C10.1.1.2']"
552,div,C10.1.2,"['C10.1.2.1', 'C10.1.2.2']"
576,end,C10.1.2.1,[]
576,end,C10.1.2.2,[]
576,end,C10.1.1.1,[]
576,end,C10.1.1.2,[]
413,div,C10.2,"['C10.2.1', 'C10.2.2']"
576,end,C10.2.1,[]
531,div,C10.2.2,"['C10.2.2.1', 'C10.2.2.2']"
576,end,C10.2.2.1,[]
576,end,C10.2.2.2,[]
0,begin,[],C11
170,div,C11,"['C11.1', 'C11.2']"
388,div,C11.1,"['C11.1.1', 'C11.1.2']"
508,div,C11.1.1,"['C11.1.1.1', 'C11.1.1.2']"
576,end,C11.1.1.1,[]
576,end,C11.1.1.2,[]
517,div,C11.1.2,"['C11.1.2.1', 'C11.1.2.2']"
576,end,C11.1.2.1,[]
576,end,C11.1.2.2,[]
338,div,C11.2,"['C11.2.1', 'C11.2.2']"
480,div,C11.2.1,"['C11.2.1.1', 'C11.2.1.2']"
463,div,C11.2.2,"['C11.2.2.1', 'C11.2.2.2']"
576,end,C11.2.2.2,[]
540,div,C11.2.2.1,"['C11.2.2.1.2', 'C11.2.2.1.1']"
576,end,C11.2.2.1.2,[]
576,end,C11.2.2.1.1,[]
576,end,C11.2.1.1,[]
576,end,C11.2.1.2,[]
