time,event,input,output
721,end,C9.1.2.1.2,[]
580,div,C9.1.2.2,"['C9.1.2.2.1', 'C9.1.2.2.2']"
721,end,C9.1.2.2.1,[]
721,end,C9.1.2.2.2,[]
0,begin,[],C10
38,div,C10,"['C10.1', 'C10.2']"
40,fusion,"['C10.1', 'C10.2']",C10.3
249,div,C10.3,"['C10.3.1', 'C10.3.2']"
412,div,C10.3.1,"['C10.3.1.1', 'C10.3.1.2']"
608,div,C10.3.1.1,"['C10.3.1.1.1', 'C10.3.1.1.2']"
721,end,C10.3.1.1.1,[]
721,end,C10.3.1.1.2,[]
617,div,C10.3.1.2,"['C10.3.1.2.1', 'C10.3.1.2.2']"
721,end,C10.3.1.2.2,[]
721,end,C10.3.1.2.1,[]
444,div,C10.3.2,"['C10.3.2.1', 'C10.3.2.2']"
588,fusion,"['C10.3.2.1', 'C10.3.2.2']",C10.4
611,div,C10.4,"['C10.4.1', 'C10.4.2', 'C10.4.3']"
721,end,C10.4.1,[]
721,end,C10.4.2,[]
721,end,C10.4.3,[]
0,begin,[],C11
51,div,C11,"['C11.1', 'C11.2']"
351,div,C11.1,"['C11.1.1', 'C11.1.2']"
470,out,C11.1.1,[]
715,div,C11.1.2,"['C11.1.2.1', 'C11.1.2.2']"
721,end,C11.1.2.1,[]
721,end,C11.1.2.2,[]
277,div,C11.2,"['C11.2.1', 'C11.2.2']"
612,out,C11.2.1,[]
497,div,C11.2.2,"['C11.2.2.1', 'C11.2.2.2']"
664,out,C11.2.2.1,[]
666,out,C11.2.2.2,[]
0,begin,[],C12
54,div,C12,"['C12.1', 'C12.2']"
348,div,C12.1,"['C12.1.1', 'C12.1.2']"
608,div,C12.1.1,"['C12.1.1.1', 'C12.1.1.2']"
721,end,C12.1.1.1,[]
721,end,C12.1.1.2,[]
588,div,C12.1.2,"['C12.1.2.1', 'C12.1.2.2']"
721,end,C12.1.2.1,[]
721,end,C12.1.2.2,[]
247,div,C12.2,"['C12.2.1', 'C12.2.2']"
721,end,C12.2.2,[]
429,div,C12.2.1,"['C12.2.1.1', 'C12.2.1.2']"
491,fusion,"['C12.2.1.1', 'C12.2.1.2']",C12.4
555,death,C12.4,[]
0,begin,[],C13
187,div,C13,"['C13.1', 'C13.2']"
368,div,C13.2,"['C13.2.1', 'C13.2.2']"
517,div,C13.2.1,"['C13.2.1.1', 'C13.2.1.2']"
